variable,value,label,meta
NUMBOL,NA,Número de Boleta,varlab
Tipo,NA,Tipo de entrevistado,varlab
Tipo,1,INTER,NA
Tipo,2,NO INTER,NA
P1,NA,1. ¿Me podría decir su edad por favor?,varlab
P2,NA,2. ¿Usted ha navegado por Internet o se ha conectado a alguna red social a través de Internet?,varlab
P2,1,Si,NA
P2,2,No,NA
P3,NA,3. ¿Cuándo fue la última vez que navegó en Internet o estuvo conectado a las redes sociales?,varlab
P3,1,Hace 7 días o menos,NA
P3,2,Entre 8 a 15 días,NA
P3,3,Entre 16 a 30 días,NA
P3,4,Hace más de 30 días,NA
P1A,NA,1a. ¿Cuáles son las razones por las cuales no se conecta a Internet regularmente?,varlab
P1A,1,No existe el servicio en el barrio/localidad,NA
P1A,2,El costo del servicio alto,NA
P1A,3,No tiene equipos para conectarse,NA
P1A,4,No sabe qué es Internet,NA
P1A,5,No sabe cómo usar Internet,NA
P1A,6,No está interesado en Internet,NA
P1A,7,El contenido de Internet es malo,NA
P1A,8,Otro,NA
P1B,NA,1a. ¿Cuáles son las razones por las cuales no se conecta a Internet regularmente?,varlab
P1B,1,No existe el servicio en el barrio/localidad,NA
P1B,2,El costo del servicio alto,NA
P1B,3,No tiene equipos para conectarse,NA
P1B,4,No sabe qué es Internet,NA
P1B,5,No sabe cómo usar Internet,NA
P1B,6,No está interesado en Internet,NA
P1B,7,El contenido de Internet es malo,NA
P1B,8,Otro,NA
P1C,NA,1a. ¿Cuáles son las razones por las cuales no se conecta a Internet regularmente?,varlab
P1C,1,No existe el servicio en el barrio/localidad,NA
P1C,2,El costo del servicio alto,NA
P1C,3,No tiene equipos para conectarse,NA
P1C,4,No sabe qué es Internet,NA
P1C,5,No sabe cómo usar Internet,NA
P1C,6,No está interesado en Internet,NA
P1C,7,El contenido de Internet es malo,NA
P1C,8,Otro,NA
P1D,NA,1a. ¿Cuáles son las razones por las cuales no se conecta a Internet regularmente?,varlab
P1D,1,No existe el servicio en el barrio/localidad,NA
P1D,2,El costo del servicio alto,NA
P1D,3,No tiene equipos para conectarse,NA
P1D,4,No sabe qué es Internet,NA
P1D,5,No sabe cómo usar Internet,NA
P1D,6,No está interesado en Internet,NA
P1D,7,El contenido de Internet es malo,NA
P1D,8,Otro,NA
P1E,NA,1a. Otro,varlab
P2A,NA,"2a. En los últimos 6 meses, ¿Ha solicitado a algún conocido que realice en Internet alguna de las siguientes actividades por usted?",varlab
P2A,1,Obtener información,NA
P2A,2,Descargar/imprimir documentos,NA
P2A,3,Obtener algún formulario,NA
P2A,4,Enviar/recibir correo electrónico,NA
P2A,5,Contactar a algún familiar/amigo,NA
P2A,6,Comprar/pagar artículos/servicios por Internet,NA
P2A,7,"Revisar alguna red social (Facebook, WhatsApp, etc)",NA
P2A,8,Otro,NA
P2A,9,Ninguno,NA
P2B,NA,"2a. En los últimos 6 meses, ¿Ha solicitado a algún conocido que realice en Internet alguna de las siguientes actividades por usted?",varlab
P2B,1,Obtener información,NA
P2B,2,Descargar/imprimir documentos,NA
P2B,3,Obtener algún formulario,NA
P2B,4,Enviar/recibir correo electrónico,NA
P2B,5,Contactar a algún familiar/amigo,NA
P2B,6,Comprar/pagar artículos/servicios por Internet,NA
P2B,7,"Revisar alguna red social (Facebook, WhatsApp, etc)",NA
P2B,8,Otro,NA
P2B,9,Ninguno,NA
P2C,NA,"2a. En los últimos 6 meses, ¿Ha solicitado a algún conocido que realice en Internet alguna de las siguientes actividades por usted?",varlab
P2C,1,Obtener información,NA
P2C,2,Descargar/imprimir documentos,NA
P2C,3,Obtener algún formulario,NA
P2C,4,Enviar/recibir correo electrónico,NA
P2C,5,Contactar a algún familiar/amigo,NA
P2C,6,Comprar/pagar artículos/servicios por Internet,NA
P2C,7,"Revisar alguna red social (Facebook, WhatsApp, etc)",NA
P2C,8,Otro,NA
P2C,9,Ninguno,NA
